Rank,Title,RatingTomatometer,No_of_Reviews,Genres
1,Black Panther,97,444,action|adventure
2,Mad Max: Fury Road,97,394,action|adventure
3,Wonder Woman,93,410,action|adventure
4,Metropolis,99,118,action|adventure
5,Coco,97,308,action|adventure
6,Dunkirk,92,413,action|adventure
7,Incredibles 2,94,332,action|adventure
8,Star Wars: The Last Jedi,91,419,action|adventure
9,Logan,93,371,action|adventure
10,Star Wars: Episode VII - The Force Awakens,93,402,action|adventure
11,King Kong,98,56,action|adventure
12,The Adventures of Robin Hood,100,45,action|adventure
13,Thor: Ragnarok,92,370,action|adventure
14,Baby Driver,93,343,action|adventure
15,Zootopia,97,268,action|adventure
16,Seven Samurai,100,58,action|adventure
17,Spider-Man: Homecoming,92,350,action|adventure
18,Up,98,290,action|adventure
19,The Jungle Book,95,307,action|adventure
20,War for the Planet of the Apes,93,323,action|adventure
21,The Treasure of the Sierra Madre,100,45,action|adventure
22,Lawrence of Arabia,98,80,action|adventure
23,The Dark Knight,94,332,action|adventure
24,Captain America: Civil War,91,381,action|adventure
25,Jaws,97,79,action|adventure
26,Harry Potter and the Deathly Hallows - Part 2,96,320,action|adventure
27,The Hurt Locker,97,277,action|adventure
28,Aliens,99,68,action|adventure
29,The LEGO Movie,96,240,action|adventure
30,Skyfall,92,362,action|adventure
31,Ant-Man and the Wasp,88,364,action|adventure
32,Star Wars: Episode IV - A New Hope,93,114,action|adventure
33,WALL-E,96,252,action|adventure
34,Moana,95,261,action|adventure
35,The Searchers,100,42,action|adventure
36,Star Trek,94,342,action|adventure
37,Kubo and the Two Strings,97,207,action|adventure
38,The 39 Steps,96,46,action|adventure
39,Rio Bravo,100,40,action|adventure
40,The Terminator,100,59,action|adventure
41,Mission: Impossible Rogue Nation,93,300,action|adventure
42,Marvel's The Avengers,92,340,action|adventure
43,The African Queen,98,42,action|adventure
44,Star Wars: Episode V - The Empire Strikes Back,95,92,action|adventure
45,Once Upon a Time in the West,98,58,action|adventure
46,Apocalypse Now,96,85,action|adventure
47,Blade Runner 2049,87,389,action|adventure
48,The French Connection,98,55,action|adventure
49,True Grit,96,270,action|adventure
50,Isle of Dogs,89,314,action|adventure
51,Throne of Blood,98,42,action|adventure
52,"Aguirre, the Wrath of God",98,46,action|adventure
53,Badlands,98,52,action|adventure
54,Avengers: Infinity War,84,408,action|adventure
55,Yellow Submarine,97,59,action|adventure
56,Guardians of the Galaxy,91,306,action|adventure
57,Iron Man,93,274,action|adventure
58,Chicken Run,97,170,action|adventure
59,Spartacus,96,54,action|adventure
60,The Princess Bride,97,71,action|adventure
61,Hunt for the Wilderpeople,96,185,action|adventure
62,Ghostbusters,97,71,action|adventure
63,Goldfinger,97,60,action|adventure
64,Paths of Glory,95,55,action|adventure
65,Casino Royale,94,252,action|adventure
66,All Is Lost,94,228,action|adventure
67,Ran,96,80,action|adventure
68,The Lego Batman Movie,90,289,action|adventure
69,Doctor Strange,89,338,action|adventure
70,A Fistful of Dollars,98,47,action|adventure
71,Assault on Precinct 13,98,42,action|adventure
72,X-Men: Days of Future Past,90,306,action|adventure
73,No Country for Old Men,93,279,action|adventure
74,The Lord of the Rings: The Two Towers,95,250,action|adventure
75,Looper,93,257,action|adventure
76,Back to the Future,96,77,action|adventure
77,The Right Stuff,98,46,action|adventure
78,Gojira,93,70,action|adventure
79,"Crouching Tiger, Hidden Dragon",97,153,action|adventure
80,The Fugitive,96,74,action|adventure
81,Dawn Of The Planet Of The Apes,90,297,action|adventure
82,Mad Max 2: The Road Warrior,98,43,action|adventure
83,Mandy,92,213,action|adventure
84,Who Framed Roger Rabbit,97,63,action|adventure
85,Annihilation,89,271,action|adventure
86,Close Encounters of the Third Kind,96,57,action|adventure
87,Diva,98,48,action|adventure
88,The Bridge on the River Kwai,94,54,action|adventure
89,Babe,97,70,action|adventure
90,Dr. No,96,54,action|adventure
91,The Lion King,93,123,action|adventure
92,Sicario,92,250,action|adventure
93,Jurassic Park,91,123,action|adventure
94,In the Line of Fire,96,67,action|adventure
95,Raiders of the Lost Ark,95,75,action|adventure
96,From Russia With Love,96,55,action|adventure
97,Superman,94,65,action|adventure
98,Saving Private Ryan,93,137,action|adventure
99,The Lord of the Rings: The Return of the King,93,270,action|adventure
100,Embrace Of The Serpent,96,139,action|adventure
1,Inside Out,98,347,animation
2,Coco,97,308,animation
3,Paddington 2,100,216,animation
4,Incredibles 2,94,332,animation
5,Snow White and the Seven Dwarfs,98,47,animation
6,Toy Story 2,100,163,animation
7,Zootopia,97,268,animation
8,Up,98,290,animation
9,Toy Story 3,98,299,animation
10,Finding Nemo,99,262,animation
11,Pinocchio,100,47,animation
12,Finding Dory,94,309,animation
13,Toy Story,100,81,animation
14,The LEGO Movie,96,240,animation
15,WALL-E,96,252,animation
16,Moana,95,261,animation
17,Kubo and the Two Strings,97,207,animation
18,Shaun the Sheep Movie,99,160,animation
19,Ratatouille,96,246,animation
20,Only Yesterday,100,53,animation
21,How to Train Your Dragon,98,205,animation
22,Isle of Dogs,89,314,animation
23,The Incredibles,97,239,animation
24,Yellow Submarine,97,59,animation
25,Beauty and the Beast,94,113,animation
26,Chicken Run,97,170,animation
27,My Life as a Zucchini,98,127,animation
28,101 Dalmatians,98,46,animation
29,The Nightmare Before Christmas,95,94,animation
30,Fantasia,96,50,animation
31,"Monsters, Inc.",96,193,animation
32,The Lego Batman Movie,90,289,animation
33,The Iron Giant,96,136,animation
34,Spirited Away,97,183,animation
35,Tower,99,92,animation
36,Song Of The Sea,99,88,animation
37,Who Framed Roger Rabbit,97,63,animation
38,Anomalisa,92,255,animation
39,The Lion King,93,123,animation
40,Your Name.,97,110,animation
41,Waltz with Bashir,96,148,animation
42,Persepolis,96,159,animation
43,Wallace & Gromit: The Curse of the Were-Rabbit,95,181,animation
44,The Secret World of Arrietty,95,146,animation
45,Ernest & Célestine,97,77,animation
46,The Red Turtle,93,157,animation
47,Long Way North,98,52,animation
48,Aladdin,94,69,animation
49,Fantastic Mr. Fox,92,231,animation
50,Frozen,90,233,animation
51,The Breadwinner,95,95,animation
52,Ghost in the Shell,96,50,animation
53,Coraline,90,261,animation
54,Lady and the Tramp,93,40,animation
55,Antz,93,91,animation
56,The Triplets of Belleville,94,147,animation
57,How to Train Your Dragon 2,91,176,animation
58,Bambi,90,48,animation
59,My Neighbor Totoro,94,49,animation
60,Big Hero 6,89,212,animation
61,The Little Mermaid,92,65,animation
62,A Bug's Life,92,85,animation
63,Princess Mononoke,92,106,animation
64,Arthur Christmas,92,163,animation
65,Mary and Max,95,64,animation
66,James and the Giant Peach,92,73,animation
67,Teen Titans Go! To the Movies,91,116,animation
68,Ponyo,91,164,animation
69,Shrek 2,89,235,animation
70,Bolt,89,181,animation
71,Tangled,89,219,animation
